date,year,mounth,day,weekday,temp,pres,prec,wind,absenteeism
20120114,2012,1,14,6,-21,756,0,1.0,4
20120116,2012,1,16,1,-19,758,0,2.0,3
20120117,2012,1,17,2,-27,770,0,1.0,3
20120118,2012,1,18,3,-28,776,0,2.0,6
20120119,2012,1,19,4,-27,778,0,2.0,4
20120120,2012,1,20,5,-27,778,0,2.0,4
20120121,2012,1,21,6,-21,776,0,1.0,4
20120123,2012,1,23,1,-22,765,0,6.0,2
20120124,2012,1,24,2,-20,763,0,2.0,3
20120125,2012,1,25,3,-22,766,2,2.0,4
20120126,2012,1,26,4,-24,769,0,1.0,3
20120127,2012,1,27,5,-22,768,0,3.0,4
20120128,2012,1,28,6,-20,767,0,,4
20120130,2012,1,30,1,-25,765,0,2.0,4
20120131,2012,1,31,2,-29,775,0,2.0,7
20120201,2012,2,1,3,-31,774,0,,10
20120202,2012,2,2,4,-20,769,0,3.0,10
20120203,2012,2,3,5,-15,763,0,2.0,6
20120204,2012,2,4,6,-15,765,0,,5
20120206,2012,2,6,1,-15,777,0,,3
20120207,2012,2,7,2,-10,773,0,1.0,3
20120208,2012,2,8,3,-22,767,0,,5
20120209,2012,2,9,4,-18,759,0,1.0,4
20120210,2012,2,10,5,-22,762,0,2.0,3
20120211,2012,2,11,6,-17,763,2,6.0,4
20120213,2012,2,13,1,-16,771,2,2.0,4
20120214,2012,2,14,2,-14,771,0,,3
20120215,2012,2,15,3,-9,766,0,3.0,3
20120216,2012,2,16,4,-17,760,0,2.0,3
20120217,2012,2,17,5,-14,756,0,2.0,3
20120218,2012,2,18,6,-14,754,0,1.0,4
20120220,2012,2,20,1,-17,756,0,1.0,3
20120221,2012,2,21,2,-16,764,0,2.0,3
20120222,2012,2,22,3,-13,769,0,,3
20120223,2012,2,23,4,-14,768,0,1.0,1
20120224,2012,2,24,5,-17,764,0,,5
20120225,2012,2,25,6,-16,762,0,2.0,4
20120227,2012,2,27,1,-12,763,0,1.0,3
20120228,2012,2,28,2,-9,758,0,1.0,4
20120301,2012,3,1,4,-12,759,0,,5
20120302,2012,3,2,5,-13,760,0,,5
20120303,2012,3,3,6,-6,758,0,,6
20120305,2012,3,5,1,-4,757,0,,2
20120306,2012,3,6,2,0,759,0,,3
20120307,2012,3,7,3,-1,760,0,,2
20120308,2012,3,8,4,0,761,0,3.0,0
20120309,2012,3,9,5,3,760,0,,6
20120310,2012,3,10,6,3,759,0,,5
20120312,2012,3,12,1,-1,758,0,2.0,3
20120313,2012,3,13,2,-2,749,0,,3
20120314,2012,3,14,3,-5,753,0,4.0,3
20120315,2012,3,15,4,-5,758,0,2.0,2
20120316,2012,3,16,5,1,752,0,1.0,3
20120317,2012,3,17,6,-3,748,0,4.0,3
20120319,2012,3,19,1,-7,751,0,9.0,3
20120320,2012,3,20,2,0,746,0,7.0,4
20120321,2012,3,21,3,0,760,0,3.0,3
20120322,2012,3,22,4,1,757,0,4.0,3
20120323,2012,3,23,5,4,752,0,3.0,4
20120324,2012,3,24,6,2,750,0,3.0,0
20120402,2012,4,2,1,5,754,0,2.0,2
20120403,2012,4,3,2,6,762,0,1.0,2
20120404,2012,4,4,3,10,756,0,4.0,1
20120405,2012,4,5,4,9,755,0,4.0,3
20120406,2012,4,6,5,4,762,0,3.0,2
20120407,2012,4,7,6,8,748,0,5.0,3
20120409,2012,4,9,1,6,764,0,3.0,2
20120410,2012,4,10,2,10,761,0,2.0,2
20120411,2012,4,11,3,13,753,0,5.0,2
20120412,2012,4,12,4,5,756,0,1.0,1
20120413,2012,4,13,5,11,749,0,2.0,1
20120414,2012,4,14,6,16,754,0,2.0,3
20120416,2012,4,16,1,16,746,0,2.0,2
20120417,2012,4,17,2,9,749,0,2.0,2
20120418,2012,4,18,3,8,754,0,,2
20120419,2012,4,19,4,15,748,0,1.0,2
20120420,2012,4,20,5,20,740,0,3.0,2
20120421,2012,4,21,6,2,745,2,3.0,4
20120423,2012,4,23,1,6,759,0,1.0,3
20120424,2012,4,24,2,7,749,0,1.0,2
20120425,2012,4,25,3,10,754,0,6.0,3
20120426,2012,4,26,4,5,755,0,3.0,3
20120427,2012,4,27,5,9,750,0,3.0,2
20120428,2012,4,28,6,9,749,0,3.0,4
20120430,2012,4,30,1,8,741,0,4.0,6
20120502,2012,5,2,3,19,744,0,1.0,3
20120503,2012,5,3,4,12,741,0,4.0,2
20120504,2012,5,4,5,9,744,0,3.0,2
20120505,2012,5,5,6,9,742,1,6.0,4
