;date;year;mounth;day;weekday;temp;pres;prec;wind;absenteeism;0;1;2;3;4;5;6;7;8;9;10
0;20120114;2012;1;14;6;-21;756;0;1.0;4;0;0;0;0;1;0;0;0;0;0;0
1;20120116;2012;1;16;1;-19;758;0;2.0;3;0;0;0;1;0;0;0;0;0;0;0
2;20120117;2012;1;17;2;-27;770;0;1.0;3;0;0;0;1;0;0;0;0;0;0;0
3;20120118;2012;1;18;3;-28;776;0;2.0;6;0;0;0;0;0;0;1;0;0;0;0
4;20120119;2012;1;19;4;-27;778;0;2.0;4;0;0;0;0;1;0;0;0;0;0;0
5;20120120;2012;1;20;5;-27;778;0;2.0;4;0;0;0;0;1;0;0;0;0;0;0
6;20120121;2012;1;21;6;-21;776;0;1.0;4;0;0;0;0;1;0;0;0;0;0;0
7;20120123;2012;1;23;1;-22;765;0;6.0;2;0;0;1;0;0;0;0;0;0;0;0
8;20120124;2012;1;24;2;-20;763;0;2.0;3;0;0;0;1;0;0;0;0;0;0;0
9;20120125;2012;1;25;3;-22;766;2;2.0;4;0;0;0;0;1;0;0;0;0;0;0
10;20120126;2012;1;26;4;-24;769;0;1.0;3;0;0;0;1;0;0;0;0;0;0;0
11;20120127;2012;1;27;5;-22;768;0;3.0;4;0;0;0;0;1;0;0;0;0;0;0
12;20120128;2012;1;28;6;-20;767;0;;4;0;0;0;0;1;0;0;0;0;0;0
13;20120130;2012;1;30;1;-25;765;0;2.0;4;0;0;0;0;1;0;0;0;0;0;0
14;20120131;2012;1;31;2;-29;775;0;2.0;7;0;0;0;0;0;0;0;1;0;0;0
15;20120201;2012;2;1;3;-31;774;0;;10;0;0;0;0;0;0;0;0;0;0;1
16;20120202;2012;2;2;4;-20;769;0;3.0;10;0;0;0;0;0;0;0;0;0;0;1
17;20120203;2012;2;3;5;-15;763;0;2.0;6;0;0;0;0;0;0;1;0;0;0;0
18;20120204;2012;2;4;6;-15;765;0;;5;0;0;0;0;0;1;0;0;0;0;0
19;20120206;2012;2;6;1;-15;777;0;;3;0;0;0;1;0;0;0;0;0;0;0
20;20120207;2012;2;7;2;-10;773;0;1.0;3;0;0;0;1;0;0;0;0;0;0;0
21;20120208;2012;2;8;3;-22;767;0;;5;0;0;0;0;0;1;0;0;0;0;0
