,date,temp,pres,prec,wind
0,20120101,-9,769,,3.0
1,20120102,-12,764,,1.0
2,20120103,-16,759,,
3,20120104,-13,756,,1.0
4,20120105,-9,757,snow,3.0
5,20120106,-18,764,,4.0
6,20120107,-11,766,snow,4.0
7,20120108,-6,765,,3.0
8,20120109,-6,767,,4.0
9,20120110,-11,766,snow,4.0
10,20120111,-13,764,,2.0
11,20120112,-15,762,,
12,20120113,-14,756,,3.0
13,20120114,-21,756,,1.0
14,20120115,-21,757,snow,1.0
15,20120116,-19,758,,2.0
16,20120117,-27,770,,1.0
17,20120118,-28,776,,2.0
18,20120119,-27,778,,2.0
19,20120120,-27,778,,2.0
20,20120121,-21,776,,1.0
21,20120122,-21,771,,2.0
22,20120123,-22,765,,6.0
23,20120124,-20,763,,2.0
24,20120125,-22,766,snow,2.0
25,20120126,-24,769,,1.0
26,20120127,-22,768,,3.0
27,20120128,-20,767,,
28,20120129,-28,764,snow,3.0
29,20120130,-25,765,,2.0
30,20120131,-29,775,,2.0
31,20120201,-31,774,,
32,20120202,-20,769,,3.0
33,20120203,-15,763,,2.0
34,20120204,-15,765,,
35,20120205,-23,777,,1.0
36,20120206,-15,777,,
37,20120207,-10,773,,1.0
38,20120208,-22,767,,
39,20120209,-18,759,,1.0
40,20120210,-22,762,,2.0
41,20120211,-17,763,snow,6.0
42,20120212,-14,765,,4.0
43,20120213,-16,771,snow,2.0
44,20120214,-14,771,,
45,20120215,-9,766,,3.0
46,20120216,-17,760,,2.0
47,20120217,-14,756,,2.0
48,20120218,-14,754,,1.0
49,20120219,-18,755,,2.0
50,20120220,-17,756,,1.0
51,20120221,-16,764,,2.0
52,20120222,-13,769,,
53,20120223,-14,768,,1.0
54,20120224,-17,764,,
55,20120225,-16,762,,2.0
56,20120226,-14,761,,1.0
57,20120227,-12,763,,1.0
58,20120228,-9,758,,1.0
59,20120301,-12,759,,
60,20120302,-13,760,,
61,20120303,-6,758,,
62,20120304,-6,754,,
63,20120305,-4,757,,
64,20120306,0,759,,
65,20120307,-1,760,,
66,20120308,0,761,,3.0
67,20120309,3,760,,
68,20120310,3,759,,
69,20120311,3,756,,2.0
70,20120312,-1,758,,2.0
71,20120313,-2,749,,
72,20120314,-5,753,,4.0
73,20120315,-5,758,,2.0
74,20120316,1,752,,1.0
75,20120317,-3,748,,4.0
76,20120318,1,742,,
77,20120319,-7,751,,9.0
78,20120320,0,746,,7.0
79,20120321,0,760,,3.0
80,20120322,1,757,,4.0
81,20120323,4,752,,3.0
82,20120324,2,750,,3.0
83,20120325,1,753,,3.0
84,20120326,4,747,,7.0
85,20120327,0,760,,4.0
86,20120328,0,766,,3.0
87,20120329,4,752,,5.0
88,20120330,1,760,,3.0
89,20120331,3,759,,2.0
90,20120401,6,758,,2.0
91,20120402,5,754,,2.0
92,20120403,6,762,,1.0
93,20120404,10,756,,4.0
94,20120405,9,755,,4.0
95,20120406,4,762,,3.0
96,20120407,8,748,,5.0
97,20120408,8,758,,2.0
98,20120409,6,764,,3.0
99,20120410,10,761,,2.0
100,20120411,13,753,,5.0
101,20120412,5,756,,1.0
102,20120413,11,749,,2.0
103,20120414,16,754,,2.0
104,20120415,14,746,,7.0
105,20120416,16,746,,2.0
106,20120417,9,749,,2.0
107,20120418,8,754,,
108,20120419,15,748,,1.0
109,20120420,20,740,,3.0
110,20120421,2,745,snow,3.0
111,20120422,6,756,,3.0
112,20120423,6,759,,1.0
113,20120424,7,749,,1.0
114,20120425,10,754,,6.0
115,20120426,5,755,,3.0
116,20120427,9,750,,3.0
117,20120428,9,749,,3.0
118,20120429,7,747,,2.0
119,20120430,8,741,,4.0
120,20120501,6,745,,2.0
121,20120502,19,744,,1.0
122,20120503,12,741,,4.0
123,20120504,9,744,,3.0
124,20120505,9,742,rain,6.0
125,20120506,12,747,,2.0
126,20120507,9,755,,3.0
127,20120508,8,754,,5.0
128,20120509,6,763,,2.0
129,20120510,7,763,,3.0
130,20120511,11,760,,3.0
131,20120512,17,753,,2.0
132,20120513,22,748,,1.0
133,20120514,21,747,,4.0
134,20120515,24,745,,4.0
135,20120516,11,749,,3.0
136,20120517,11,755,,5.0
137,20120518,15,748,,2.0
138,20120519,10,750,,2.0
139,20120520,9,757,,2.0
140,20120521,16,755,,3.0
141,20120522,18,751,,2.0
142,20120523,26,744,,3.0
143,20120524,18,738,storm,4.0
144,20120525,10,750,,2.0
145,20120526,9,757,,2.0
146,20120527,14,758,,3.0
147,20120528,16,756,,3.0
148,20120529,20,754,,3.0
149,20120530,26,751,,2.0
150,20120531,27,750,,1.0
151,20120601,28,749,,1.0
152,20120602,27,749,,3.0
153,20120603,28,746,,2.0
154,20120604,29,747,,1.0
155,20120605,28,745,,1.0
156,20120606,26,741,,3.0
157,20120607,20,746,,3.0
158,20120608,23,749,,1.0
159,20120609,26,748,,1.0
160,20120610,31,744,,3.0
161,20120611,29,744,,2.0
162,20120612,21,745,,5.0
163,20120613,27,742,,6.0
164,20120614,26,744,storm,2.0
165,20120615,23,742,storm,3.0
166,20120616,23,741,,2.0
167,20120617,27,740,,
168,20120618,27,741,,2.0
169,20120619,26,740,storm,3.0
170,20120620,24,744,,4.0
171,20120621,25,749,,4.0
172,20120622,26,749,,4.0
173,20120623,29,747,,2.0
174,20120624,29,744,,3.0
175,20120625,28,743,,3.0
176,20120626,28,745,,3.0
177,20120627,29,745,,5.0
178,20120628,29,745,,5.0
179,20120629,26,743,,2.0
180,20120630,24,743,storm,2.0
181,20121001,13,754,,
182,20121002,14,753,,2.0
183,20121003,16,750,,3.0
184,20121004,14,746,,8.0
